Item,Quantity,Sell_Price,Buy_Price,Profit_Per_Item,Total_Profit,Seller,Seller_Warp,Seller_Stock,Buyer,Buyer_Warp,Buyer_Stock,Seller_Location,Buyer_Location,Seller_Timestamp,Buyer_Timestamp
Deepslate Iron Ore,209,25.0,30.0,5.0,1045.0,_ZippyCastle5557,/warp zippytrial,209,SerSicerio,/warp serstore,3456,-2030 -20 1296,-17668 159 18759,2026-08-16 14:50:27,2026-08-07 08:18:50
Lantern,340,2.0,5.0,3.0,1020.0,glossycherry,/warp cherry shop,340,Killablob,/warp killashop,3456,-12113 9 188,11575 72 -5246,2026-05-29 00:01:48,2026-05-30 10:37:04
Rail,334,5.0,8.0,3.0,1002.0,celticpiping,/warp celt,357,Effortles,/warp sale,334,4740 -41 -13257,-13458 -4 4362,2026-08-08 11:48:09,2026-05-29 11:31:06
Pale Oak Sapling,382,5.0,7.5,2.5,955.0,tazrar,/warp farm stuff,382,FX_02,/warp 1,2788,17349 72 11854,8591 -43 -2004,2026-05-29 00:28:45,2026-05-26 23:57:45
Carrot,1290,0.1,0.84,0.74,954.6,czsunny12,/warp czshop,1390,Killablob,/warp killashop,1402,7460 67 -10066,11563 72 -5296,2026-08-07 08:31:26,2026-05-30 10:57:16
Potato,3178,0.5,0.8,0.30000000000000004,953.4000000000001,Crazy69,/warp crazysshop,3182,AKoopa,/warp koopa,3456,-11766 63 15203,13252 113 -6419,2026-08-07 08:27:39,2026-05-30 10:19:51
Stonecutter,190,10.0,15.0,5.0,950.0,Abbie_Kills,/warp decor,190,AKoopa,/warp koopa,1728,18565 20 1012,13283 115 -6419,2026-05-29 00:11:50,2026-05-30 10:19:11
Bucket,135,3.0,10.0,7.0,945.0,Soup__booty,/warp soupshop,135,Effortles,/warp sale,864,9888 61 -12549,-13444 -5 4367,2026-05-29 11:50:06,2026-05-29 11:28:12
Glowstone,313,2.0,5.0,3.0,939.0,Dwarffles,/warp lidl,3456,Effortles,/warp sale,313,-3920 155 12306,-13468 -4 4383,2026-05-29 00:41:44,2026-07-05 23:19:37
Raw Porkchop,2755,0.0,0.34,0.34,936.7,FX_02,/warp sell me ores,2755,__server__,/shop,999999,-10039 133 3509,SERVER_SELL_MOBDROPS,2026-05-29 11:33:33,2026-08-16 13:47:39
Spruce Sapling,200,3.0,7.5,4.5,900.0,Alisa12345,/warp shrimp shop,200,Killablob,/warp killashop,3456,-7100 113 -17576,11575 72 -5266,2026-05-29 11:44:23,2026-05-30 11:12:39
Glass,865,4.0,5.0,1.0,865.0,Hobosapian,/warp shopbo,2646,Crazy69,/warp crazysshop,1608,14596 75 -1411,-11728 65 15198,2026-07-08 23:45:23,2026-08-07 08:29:00
Melon,500,1.0,2.73,1.73,865.0,MaddysinLeigh,/warp 909mall,500,Allyri,/warp ri,3456,8906 65 -13489,-5234 172 -4853,2026-05-30 12:59:35,2026-05-29 11:22:20
Jungle Sapling,192,3.0,7.5,4.5,864.0,Alisa12345,/warp shrimp shop,192,Killablob,/warp killashop,3456,-7100 115 -17576,11575 72 -5270,2026-05-29 11:44:24,2026-05-30 11:12:42
String,3392,0.1,0.34,0.24000000000000002,814.08,czsunny12,/warp czshop,3392,__server__,/shop,999999,7460 66 -10067,SERVER_SELL_MOBDROPS,2026-08-07 08:31:20,2026-08-16 13:47:39
Cornflower,100,2.0,10.0,8.0,800.0,Exestive,/warp luxeria,3255,Taytertot1298,/warp celt,100,9816 176 16226,4753 -49 -13325,2026-05-29 00:48:45,2026-08-08 11:51:59
Soul Lantern,394,6.0,8.0,2.0,788.0,Exestive,/warp luxeria,394,Effortles,/warp sale,627,9816 151 16216,-13458 -5 4395,2026-05-29 00:43:43,2026-08-08 11:34:20
Feather,2102,0.0,0.37,0.37,777.74,FX_02,/warp sell me ores,3456,Killablob,/warp killashop,2801,-10033 133 3509,11560 72 -5287,2026-05-29 11:33:38,2026-05-30 10:53:30
Raw Gold,254,12.0,15.0,3.0,762.0,_ZippyCastle5557,/warp zippytrial,254,SerSicerio,/warp serstore,3456,-2029 -20 1296,-17665 159 18754,2026-08-16 14:50:26,2026-08-07 08:18:27
Iron Trapdoor,143,20.0,25.0,5.0,715.0,RyRavioli,/warp buyingspawners,143,FX_02,/warp 1,2987,-10021 71 3180,8591 -38 -2004,2026-05-28 23:39:26,2026-05-26 23:55:12
Calcite,694,4.0,5.0,1.0,694.0,czsunny12,/warp czshop,694,Effortles,/warp sale,3456,7448 66 -10075,-13467 -4 4400,2026-08-07 08:29:46,2026-05-29 11:30:06
Dark Oak Leaves,342,1.0,3.0,2.0,684.0,tazrar,/warp farm stuff,342,AKoopa,/warp koopa,3456,17348 69 11853,13320 115 -6494,2026-05-29 00:28:48,2026-05-30 10:27:46
Red Sandstone,443,6.0,7.5,1.5,664.5,Abbie_Kills,/warp decor,443,SpaghettiPasta,/warp one,3456,18605 27 975,4238 152 6876,2026-05-29 00:15:50,2026-05-29 10:53:42
Gilded Blackstone,125,45.0,50.0,5.0,625.0,pao_7,/warp celt,125,FX_02,/warp 1,557,4790 -48 -13315,8584 -32 -2012,2026-08-08 11:52:47,2026-05-26 23:51:48
Redstone Dust,2438,0.75,1.0,0.25,609.5,_ZippyCastle5557,/warp zippytrial,2813,Crazy69,/warp crazysshop,3456,-2051 -20 1276,-11784 65 15203,2026-08-16 14:47:40,2026-08-07 08:27:34
Smooth Basalt,579,1.0,2.0,1.0,579.0,Melody_Melon_,/warp celt,579,SerSicerio,/warp serstore,3456,4765 -49 -13376,-17622 159 18778,2026-08-08 11:54:38,2026-08-07 08:16:29
Pumpkin Seeds,1157,0.5,1.0,0.5,578.5,tazrar,/warp farm stuff,1728,FX_02,/warp 1,1157,17386 72 11852,8584 -38 -2006,2026-05-29 00:26:27,2026-05-26 23:55:31
Lever,1086,2.0,2.5,0.5,543.0,Exestive,/warp luxeria,1086,FX_02,/warp 1,2940,9832 167 16226,8588 -36 -2004,2026-05-29 00:47:19,2026-05-26 23:55:18
Cherry Leaves,361,1.5,3.0,1.5,541.5,Harmony_Gold_,/warp wood shop,361,AKoopa,/warp koopa,3456,-6165 28 1449,13310 115 -6494,2026-05-29 12:43:29,2026-05-30 10:27:32
Glow Ink Sac,89,2.0,8.0,6.0,534.0,Hobosapian,/warp shopbo,1760,Effortles,/warp sale,97,14616 75 -1402,-13443 -5 4372,2026-08-08 11:24:23,2026-08-08 11:24:36
Obsidian,52,30.0,40.0,10.0,520.0,DaftWeevil2996,/warp ocean city shop,52,AKoopa,/warp koopa,3456,-18209 42 17970,13254 115 -6494,2026-07-01 21:29:32,2026-06-23 00:48:02
End Rod,395,3.75,5.0,1.25,493.75,Harmony_Gold_,/warp wood shop,395,Effortles,/warp sale,3456,-6139 25 1438,-13453 -5 4395,2026-05-29 12:42:39,2026-05-29 11:27:27
Rooted Dirt,193,10.0,12.5,2.5,482.5,_ZippyCastle5557,/warp zippytrial,193,FX_02,/warp 1,347,-2029 -20 1327,8595 -40 -2020,2026-08-16 14:52:52,2026-05-26 23:59:12
Arrow,1420,0.0,0.32,0.32,454.40000000000003,FX_02,/warp 1,1420,kaaip,/warp one,3456,8571 -33 -2044,4262 151 6813,2026-06-01 17:34:16,2026-05-29 10:48:56
Waxed Copper Bulb,29,5.0,20.0,15.0,435.0,Ayame989,/warp village hall,29,AKoopa,/warp koopa,1728,-9094 63 13786,13303 114 -6418,2026-05-29 12:27:55,2026-05-30 10:32:22
Leather,848,1.0,1.5,0.5,424.0,_ZippyCastle5557,/warp zippytrial,1612,FX_02,/warp 1,848,-2054 -20 1276,8595 -36 -2020,2026-08-16 14:47:39,2026-05-26 23:56:40
Sculk,401,1.0,2.0,1.0,401.0,celticpiping,/warp celt,3456,Effortles,/warp sale,401,4756 -44 -13284,-13430 -4 4384,2026-08-08 11:50:07,2026-05-29 11:29:04
Spectral Arrow,385,1.0,2.0,1.0,385.0,Harmony_Gold_,/warp wood shop,385,emattj1s,/warp hideout,1744,-6154 25 1442,-14421 -24 -330,2026-05-29 12:43:15,2026-08-01 22:43:22
Azalea Leaves,377,2.0,3.0,1.0,377.0,tazrar,/warp farm stuff,377,AKoopa,/warp koopa,3456,17340 77 11889,13325 115 -6486,2026-05-29 00:32:02,2026-05-30 10:28:02
Blue Ice,74,5.0,10.0,5.0,370.0,Killablob,/warp killashop,74,Allyri,/warp ri,3392,11521 70 -5229,-5263 172 -4804,2026-05-30 10:40:45,2026-05-29 11:21:06
Item Frame,144,2.5,5.0,2.5,360.0,Dwarffles,/warp lidl,2928,FX_02,/warp 1,144,-3923 155 12321,8597 -31 -2018,2026-05-29 00:42:01,2026-05-26 23:53:38
Sunny Axe,5,50.0,120.0,70.0,350.0,Hobosapian,/warp shopbo,13,AKoopa,/warp koopa,5,14601 77 -1405,13255 114 -6452,2026-07-08 23:45:49,2026-05-30 10:20:57
Dark Oak Sapling,139,5.0,7.5,2.5,347.5,_FireWilley,/warp wow,139,Killablob,/warp killashop,3456,18654 8 -7127,11575 72 -5269,2026-08-17 11:28:06,2026-05-30 11:12:41
Breeze Rod,3392,0.0,0.1,0.1,339.20000000000005,TycoRC,/warp xp grinder,3392,_ZippyCastle5557,/warp zippytrial,3456,-1711 51 3403,-2027 -18 1276,2026-05-30 13:38:28,2026-08-16 14:48:42
Red Dye,1694,0.3,0.5,0.2,338.8,BobGuy_,/warp celt,1694,_ZippyCastle5557,/warp zippytrial,2402,4819 -50 -13364,-2032 -18 1272,2026-08-08 11:53:28,2026-08-16 14:49:04
Spider Eye,1158,0.0,0.289,0.289,334.662,FX_02,/warp 1,1158,__server__,/shop,999999,8551 -33 -2045,SERVER_SELL_MOBDROPS,2026-05-31 21:56:06,2026-08-16 13:47:39
Rabbit Hide,432,0.0,0.75,0.75,324.0,FX_02,/warp sell me ores,432,_ZippyCastle5557,/warp zippytrial,3456,-10042 133 3509,-2055 -18 1276,2026-05-29 11:33:31,2026-08-16 14:47:46
Lily of the Valley,64,5.0,10.0,5.0,320.0,Exestive,/warp luxeria,64,Taytertot1298,/warp celt,320,9819 177 16229,4753 -49 -13328,2026-05-29 00:48:12,2026-08-08 11:52:01
Slime Block,31,15.0,25.0,10.0,310.0,Soup__booty,/warp soupshop,150,FX_02,/warp 1,31,9901 59 -12551,8599 -35 -2004,2026-05-29 11:50:22,2026-05-26 23:54:25
Red Concrete Powder,146,6.0,8.0,2.0,292.0,MatsmitGlatz,/warp blockmart,1439,Puppies75200,/warp sellconcrete,146,12417 75 -9893,5195 0 -13470,2026-08-08 11:31:10,2026-08-08 11:31:31
Armadillo Scute,76,1.5,5.0,3.5,266.0,Hobosapian,/warp shopbo,1728,Killablob,/warp killashop,76,14615 77 -1403,11508 72 -5249,2026-08-08 11:16:42,2026-05-30 13:36:02
Name Tag,4,35.0,100.0,65.0,260.0,Soup__booty,/warp soupshop,4,FX_02,/warp 1,539,9881 61 -12549,8597 -31 -2012,2026-05-29 11:49:46,2026-05-26 23:53:54
Baked Potato,1728,0.0,0.15,0.15,259.2,Hobosapian,/warp shopbo,2561,saltzi,/warp villager trading hall,1728,14617 75 -1418,7141 34 12226,2026-08-08 11:15:31,2026-05-29 12:31:47
Paper,255,0.5,1.5,1.0,255.0,FifoTheBoss,/warp fifodeals,255,FX_02,/warp 1,3456,-12642 -58 16125,8584 -36 -2018,2026-05-29 00:33:51,2026-05-26 23:56:09
Wheat Seeds,637,0.1,0.5,0.4,254.8,Harmony_Gold_,/warp wood shop,1480,FX_02,/warp 1,637,-6176 25 1449,8584 -36 -2012,2026-05-29 12:43:39,2026-05-26 23:55:54
Raw Cod,1728,0.2,0.34,0.14,241.92000000000002,BobGuy_,/warp celt,1728,__server__,/shop,999999,4823 -51 -13361,SERVER_SELL_MOBDROPS,2026-08-08 11:53:34,2026-08-16 13:47:39
Mossy Cobblestone,483,3.5,4.0,0.5,241.5,Soup__booty,/warp soupshop,483,Effortles,/warp sale,3456,9870 59 -12554,-13436 -4 4362,2026-05-29 11:49:35,2026-05-29 11:31:36
Mangrove Propagule,60,6.0,10.0,4.0,240.0,glossycherry,/warp cherry shop,60,FX_02,/warp 1,3096,-12093 9 170,8584 -42 -2006,2026-05-29 00:02:58,2026-05-26 23:58:03
Raw Rabbit,531,0.0,0.425,0.425,225.67499999999998,FX_02,/warp sell me ores,531,__server__,/shop,999999,-10045 133 3509,SERVER_SELL_MOBDROPS,2026-05-29 11:33:28,2026-08-16 13:47:39
Bone,1728,0.25,0.38,0.13,224.64000000000001,Harmony_Gold_,/warp wood shop,1728,kaaip,/warp one,3456,-6150 25 1449,4262 150 6814,2026-05-29 12:43:07,2026-05-29 10:48:49
Sunny Shovel,3,50.0,120.0,70.0,210.0,Hobosapian,/warp shopbo,21,AKoopa,/warp koopa,3,14601 77 -1404,13256 114 -6452,2026-07-08 23:45:48,2026-05-30 10:20:57
Dispenser,19,40.0,50.0,10.0,190.0,Harmony_Gold_,/warp wood shop,19,FX_02,/warp 1,2980,-6125 25 1438,8594 -37 -2004,2026-05-29 12:42:28,2026-07-05 11:22:27
Egg,431,0.1,0.5,0.4,172.4,tazrar,/warp farm stuff,431,Crazy69,/warp crazysshop,864,17389 80 11843,-11760 65 15203,2026-05-29 00:26:46,2026-08-07 08:27:53
Raw Beef,506,0.0,0.34,0.34,172.04000000000002,FX_02,/warp sell me ores,506,__server__,/shop,999999,-10021 138 3513,SERVER_SELL_MOBDROPS,2026-05-29 11:35:16,2026-08-16 13:47:39
Pale Moss Block,653,0.75,1.0,0.25,163.25,BobGuy_,/warp celt,653,_FireWilley,/warp wow,1728,4818 -45 -13363,18709 16 -7150,2026-08-08 11:54:05,2026-08-17 11:20:43
Wind Charge,651,0.25,0.5,0.25,162.75,_ZippyCastle5557,/warp zippytrial,3456,Killablob,/warp killashop,651,-2028 -20 1276,11560 72 -5276,2026-08-16 14:48:34,2026-05-30 10:52:31
Cocoa Beans,287,0.95,1.5,0.55,157.85000000000002,Harmony_Gold_,/warp wood shop,1654,FX_02,/warp 1,369,-6181 25 1449,8584 -38 -2012,2026-05-29 12:43:41,2026-05-26 23:55:50
White Concrete Powder,78,6.0,8.0,2.0,156.0,MatsmitGlatz,/warp blockmart,1600,Puppies75200,/warp sellconcrete,78,12412 75 -9893,5184 0 -13470,2026-08-08 11:31:15,2026-08-08 11:31:41
Cobweb,47,2.0,5.0,3.0,141.0,glossycherry,/warp cherry shop,47,Effortles,/warp sale,3456,-12100 6 127,-13440 -5 4367,2026-05-29 00:00:06,2026-05-29 11:28:10
Sunny Sword,2,50.0,120.0,70.0,140.0,Hobosapian,/warp shopbo,15,AKoopa,/warp koopa,2,14601 77 -1407,13253 114 -6452,2026-07-08 23:45:51,2026-05-30 10:20:55
Gold Ingot,13,5.0,15.0,10.0,130.0,Alisa12345,/warp shrimp shop,13,SerSicerio,/warp serstore,3456,-7115 113 -17576,-17667 159 18754,2026-05-29 11:44:05,2026-08-07 08:18:26
Saddle,3,10.0,50.0,40.0,120.0,Hobosapian,/warp shopbo,24,FX_02,/warp 1,3,14615 77 -1404,8597 -27 -2019,2026-08-08 11:16:41,2026-05-26 23:49:59
Sweet Berries,654,0.82,1.0,0.18000000000000005,117.72000000000003,kiwi_241,/warp v.i.p room,654,FX_02,/warp 1,1785,-1418 63 -2456,8584 -38 -2015,2026-05-29 12:23:47,2026-05-26 23:56:02
Bone Meal,864,0.12,0.25,0.13,112.32000000000001,midwu,/warp panda,1728,FX_02,/warp 1,864,15694 71 11952,8584 -38 -2018,2026-08-07 08:14:04,2026-05-26 23:56:05
Sculk Vein,66,1.0,2.5,1.5,99.0,celticpiping,/warp celt,3456,FX_02,/warp 1,66,4747 -45 -13281,8592 -33 -2020,2026-08-08 11:49:41,2026-05-26 23:53:26
Moss Carpet,128,0.5,1.25,0.75,96.0,BobGuy_,/warp celt,128,FX_02,/warp 1,671,4817 -43 -13365,8597 -33 -2015,2026-08-08 11:54:07,2026-05-26 23:53:46
Rotten Flesh,1728,0.2,0.255,0.05499999999999999,95.03999999999999,tazrar,/warp farm stuff,1728,__server__,/shop,999999,17362 79 11877,SERVER_SELL_MOBDROPS,2026-05-29 00:30:12,2026-08-16 13:47:39
Apple,190,2.0,2.5,0.5,95.0,Hobosapian,/warp shopbo,190,FX_02,/warp 1,2641,14615 75 -1410,8584 -37 -2012,2026-08-08 11:16:24,2026-05-26 23:55:52
Powered Rail,6,15.0,30.0,15.0,90.0,celticpiping,/warp celt,6,FX_02,/warp 1,2106,4740 -41 -13255,8585 -38 -2004,2026-08-08 11:48:11,2026-05-26 23:55:29
Pale Oak Leaves,128,2.3,3.0,0.7000000000000002,89.60000000000002,kiwi_241,/warp v.i.p room,128,AKoopa,/warp koopa,3456,-1416 64 -2509,13323 115 -6494,2026-05-29 12:22:51,2026-05-30 10:27:50
Sea Lantern,44,5.0,7.0,2.0,88.0,celticpiping,/warp celt,44,Effortles,/warp sale,3456,4776 -47 -13278,-13468 -4 4385,2026-08-08 11:57:53,2026-05-29 11:30:32
Flint,66,0.75,2.0,1.25,82.5,_ZippyCastle5557,/warp zippytrial,2420,FX_02,/warp 1,66,-2039 -20 1276,8584 -41 -2006,2026-08-16 14:48:15,2026-05-26 23:58:06
Copper Ore,8,15.0,25.0,10.0,80.0,RubberDucky7474,/warp nethersunny,8,FX_02,/warp 1,836,14237 68 3603,8601 -42 -2004,2026-05-29 10:38:28,2026-05-26 23:57:26
Jungle Leaves,40,1.0,3.0,2.0,80.0,tazrar,/warp farm stuff,40,AKoopa,/warp koopa,3456,17348 69 11846,13325 115 -6488,2026-05-29 00:28:58,2026-05-30 10:27:59
Azalea,71,2.0,3.0,1.0,71.0,BobGuy_,/warp celt,71,AKoopa,/warp koopa,3456,4819 -44 -13365,13325 115 -6487,2026-08-08 11:54:11,2026-05-30 10:28:01
Sunny Hoe,1,50.0,120.0,70.0,70.0,Hobosapian,/warp shopbo,12,AKoopa,/warp koopa,1,14601 77 -1403,13252 114 -6452,2026-07-08 23:45:47,2026-05-30 10:20:54
Amethyst Cluster,7,95.0,105.0,10.0,70.0,Soup__booty,/warp soupshop,7,Allyri,/warp ri,3060,9893 59 -12554,-5161 169 -4816,2026-05-29 11:50:11,2026-05-29 11:23:21
Block of Iron,2,10.0,35.0,25.0,50.0,Ayame989,/warp village hall,2,AKoopa,/warp koopa,3456,-9092 63 13786,13310 115 -6421,2026-05-29 12:27:54,2026-05-30 10:31:52
Cactus,62,0.25,1.0,0.75,46.5,Crazy69,/warp crazysshop,62,FX_02,/warp 1,64,-11757 63 15203,8584 -37 -2018,2026-08-07 08:27:44,2026-05-26 23:56:06
Composter,18,10.0,12.5,2.5,45.0,Abbie_Kills,/warp decor,18,FX_02,/warp 1,19,18569 20 1014,8601 -36 -2006,2026-05-29 00:11:42,2026-05-26 23:54:14
Red Concrete,18,8.0,10.0,2.0,36.0,_ZippyCastle5557,/warp zippytrial,18,Puppies75200,/warp sellconcrete,2447,-2044 -20 1272,5195 1 -13471,2026-08-16 14:47:55,2026-08-08 11:31:59
Green Concrete,17,8.0,10.0,2.0,34.0,_ZippyCastle5557,/warp zippytrial,17,Puppies75200,/warp sellconcrete,2363,-2040 -20 1272,5191 1 -13471,2026-08-16 14:47:57,2026-08-08 11:31:55
Glow Lichen,16,1.0,3.0,2.0,32.0,tazrar,/warp farm stuff,16,Effortles,/warp sale,3456,17347 77 11885,-13456 -5 4395,2026-05-29 00:32:09,2026-05-29 11:27:25
Wheat,64,0.5,1.0,0.5,32.0,_FireWilley,/warp wow,64,FX_02,/warp 1,3456,18647 9 -7127,8584 -35 -2012,2026-08-17 11:27:53,2026-05-26 23:55:57
Gray Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,3329,-2047 -20 1272,5182 1 -13471,2026-08-16 14:47:54,2026-08-08 11:31:49
Blue Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,1747,-2048 -20 1272,5188 1 -13471,2026-08-16 14:47:53,2026-08-08 11:31:53
Yellow Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2026,-2041 -20 1272,5193 1 -13471,2026-08-16 14:47:57,2026-08-08 11:31:58
Light Gray Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,3456,-2036 -20 1272,5183 1 -13471,2026-08-16 14:48:00,2026-08-08 11:31:50
Pink Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2109,-2037 -20 1272,5185 1 -13471,2026-08-16 14:47:59,2026-08-08 11:31:51
Lime Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2027,-2050 -20 1272,5192 1 -13471,2026-08-16 14:47:52,2026-08-08 11:31:57
Magenta Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,1882,-2038 -20 1272,5186 1 -13471,2026-08-16 14:47:58,2026-08-08 11:31:52
Purple Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2425,-2039 -20 1272,5187 1 -13471,2026-08-16 14:47:58,2026-08-08 11:31:52
Brown Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2111,-2043 -20 1272,5180 1 -13471,2026-08-16 14:47:56,2026-08-08 11:31:47
Light Blue Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp sellconcrete,2428,-2049 -20 1272,5189 1 -13471,2026-08-16 14:47:53,2026-08-08 11:31:54
Orange Concrete,15,8.0,10.0,2.0,30.0,_ZippyCastle5557,/warp zippytrial,15,Puppies75200,/warp SellConcrete,3456,-2042 -20 1272,5194 2 -13472,2026-08-16 14:47:56,2026-05-29 11:38:57
Nether Quartz,22,5.0,6.3,1.2999999999999998,28.599999999999994,Alisa12345,/warp shrimp shop,22,Effortles,/warp sale,3456,-7092 113 -17576,-13468 -4 4382,2026-05-29 11:44:31,2026-07-08 23:39:26
Coarse Dirt,54,2.0,2.5,0.5,27.0,tazrar,/warp farm stuff,54,FX_02,/warp 1,3248,17361 70 11829,8595 -41 -2020,2026-05-29 00:27:39,2026-05-26 23:59:11
Blaze Rod,663,0.3,0.34,0.040000000000000036,26.520000000000024,tazrar,/warp farm stuff,663,__server__,/shop,999999,17362 76 11875,SERVER_SELL_MOBDROPS,2026-05-31 13:03:24,2026-08-16 13:47:39
Mossy Stone Bricks,26,3.0,4.0,1.0,26.0,Toxic_coco,/warp !,26,Effortles,/warp sale,1270,9614 -41 5483,-13437 -4 4362,2026-05-28 11:19:07,2026-05-29 11:31:36
Weeping Vines,49,2.0,2.5,0.5,24.5,Ayame989,/warp village hall,49,FX_02,/warp 1,3151,-9092 72 13764,8584 -30 -2006,2026-05-29 12:30:00,2026-05-26 23:51:36
Blackstone,48,3.5,4.0,0.5,24.0,Harmony_Gold_,/warp wood shop,48,SerSicerio,/warp serstore,3456,-6140 25 1414,-17622 159 18776,2026-05-29 12:41:48,2026-08-07 08:16:28
Polished Blackstone Bricks,11,2.0,4.0,2.0,22.0,Ayame989,/warp village hall,11,Effortles,/warp sale,3456,-9088 63 13800,-13430 -4 4364,2026-05-29 12:27:24,2026-06-23 23:41:49
Black Concrete,9,8.0,10.0,2.0,18.0,_ZippyCastle5557,/warp zippytrial,9,Puppies75200,/warp sellconcrete,1660,-2045 -20 1272,5181 1 -13471,2026-08-16 14:47:55,2026-08-08 11:31:47
Flowering Azalea,11,3.5,5.0,1.5,16.5,BobGuy_,/warp celt,11,Killablob,/warp killashop,3456,4819 -43 -13365,11575 72 -5278,2026-08-08 11:54:12,2026-05-30 11:12:48
Bundle,4,1.0,5.0,4.0,16.0,Hobosapian,/warp shopbo,4,Killablob,/warp killashop,27,14614 77 -1418,11581 72 -5264,2026-08-08 11:15:42,2026-05-30 11:12:57
Deepslate Copper Ore,5,22.0,25.0,3.0,15.0,RubberDucky7474,/warp nethersunny,5,FX_02,/warp 1,3443,14237 71 3603,8601 -43 -2004,2026-05-29 10:38:36,2026-05-26 23:57:28
Soul Soil,23,2.0,2.5,0.5,11.5,AKoopa,/warp koopa,3456,FX_02,/warp 1,23,13251 114 -6487,8586 -32 -2020,2026-05-30 10:22:06,2026-05-26 23:52:24
Brown Mushroom,4,0.5,2.0,1.5,6.0,Hobosapian,/warp shopbo,4,AKoopa,/warp koopa,3456,14601 75 -1403,13325 115 -6483,2026-07-08 23:45:45,2026-05-30 10:28:06
Target,1,10.0,15.0,5.0,5.0,midwu,/warp panda,1,FX_02,/warp 1,3456,15696 71 11970,8588 -37 -2004,2026-08-07 08:14:19,2026-05-26 23:55:16
